tweet_id,sentiment,text,tweet_created,tweet_location,user_timezone
17,positive,So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo,24/02/2015 9:42,west covina,Pacific Time (US & Canada)
18,negative, I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!,24/02/2015 9:39,this place called NYC,Eastern Time (US & Canada)
19,positive,___ flying @VirginAmerica. _____,24/02/2015 9:15,Somewhere celebrating life. ,Atlantic Time (Canada)
20,positive,you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.,24/02/2015 9:04,Boston | Waltham,Quito
21,negative,why are your first fares in May over three times more than other carriers when all seats are available to select???,24/02/2015 8:55,,
22,positive,I love this graphic. http://t.co/UT5GrRwAaA,24/02/2015 8:49,,
23,positive,I love the hipster innovation. You are a feel good brand.,24/02/2015 8:30,Los Angeles,Pacific Time (US & Canada)
24,neutral,will you be making BOS&gt;LAS non stop permanently anytime soon?,24/02/2015 8:27,"Boston, MA ",Eastern Time (US & Canada)
25,negative,you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... __ I want free internet,24/02/2015 8:18,714,Mountain Time (US & Canada)
26,negative,status match program.  I applied and it's been three weeks.  Called and emailed with no response.,24/02/2015 7:49,,
27,negative,What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs #fail,24/02/2015 7:11,,
28,neutral,do you miss me? Don't worry we'll be together very soon.,24/02/2015 5:44,"San Francisco, CA",Central Time (US & Canada)
29,negative,amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS,24/02/2015 5:05,"San Mateo, CA & Las Vegas, NV",
30,neutral,LAX to EWR - Middle seat on a red eye. Such a noob maneuver. #sendambien #andchexmix,23/02/2015 23:34,Brooklyn,Atlantic Time (Canada)
31,negative,"hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems __",23/02/2015 22:52,,Vienna
32,neutral,Are the hours of operation for the Club at SFO that are posted online current?,23/02/2015 21:35,"California, San Francisco",Pacific Time (US & Canada)
33,negative,"help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX!",23/02/2015 21:10,Washington DC,Quito
34,negative,"awaiting my return phone call, just would prefer to use your online self-service option :(",23/02/2015 20:55,,Pacific Time (US & Canada)
35,positive,this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews,23/02/2015 20:24,Texas,Central Time (US & Canada)
36,neutral,RT @VirginAmerica: Vibe with the moodlight from takeoff to touchdown. #MoodlitMonday #ScienceBehindTheExperience http://t.co/Y7O0uNxTQP,23/02/2015 18:46,Worldwide,Caracas
37,positive,Moodlighting is the only way to fly! Best experience EVER! Cool and calming. ___ #MoodlitMonday,23/02/2015 18:43,Central Texas,
38,positive,"@freddieawards Done and done! Best airline around, hands down!",23/02/2015 18:19,Central Texas,
39,neutral,when can I book my flight to Hawaii??,23/02/2015 17:54,i'm creating a monster ,Pacific Time (US & Canada)
40,negative,Your chat support is not working on your site: http://t.co/vhp2GtDWPk,23/02/2015 17:41,"San Francisco, CA",Pacific Time (US & Canada)
41,positive,"View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr",23/02/2015 17:32,,
42,negative,"Hey, first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help?",23/02/2015 17:00,Iowa City,Central Time (US & Canada)
43,neutral,plz help me win my bid upgrade for my flight 2/27 LAX---&gt;SEA!!!  _________,23/02/2015 16:24,Los Angeles,
44,neutral,I have an unused ticket but moved to a new city where you don't fly. How can I fly with you before it expires? #travelhelp,23/02/2015 16:20,Georgia,Pacific Time (US & Canada)
45,neutral,are flights leaving Dallas for Seattle on time Feb 24?,23/02/2015 16:13,,
46,positive,I'm #elevategold for a good reason: you rock!!,23/02/2015 16:08,Los Angeles,
47,neutral, DREAM http://t.co/oA2dRfAoQ2 http://t.co/lWWdAc2kHx,23/02/2015 16:04,Turks and caicos,
48,positive,wow this just blew my mind,23/02/2015 16:01,Oakland via Midwest ,Atlantic Time (Canada)
49,neutral,@ladygaga @carrieunderwood After last night #tribute #SoundOfMusic #Oscars2015 @ladygaga! I think @carrieunderwood agree,23/02/2015 16:01,"New York, NY",Eastern Time (US & Canada)
50,neutral,@ladygaga @carrieunderwood All were entertaining,23/02/2015 15:58,,
51,neutral,"Is flight 769 on it's way? Was supposed to take off 30 minutes ago. Website still shows ""On Time"" not ""In Flight"". Thanks.",23/02/2015 15:55,Worldwide,Central Time (US & Canada)
52,positive,@ladygaga @carrieunderwood Julie Andrews all the way though @ladygaga was very impressive! NO to @Carrieunderwood,23/02/2015 15:46,Northern Virginia,Eastern Time (US & Canada)
53,neutral,wish you flew out of Atlanta... Soon?,23/02/2015 15:36,Los Angeles / Atlanta,Eastern Time (US & Canada)
54,neutral,@ladygaga @carrieunderwood Julie Andrews. Hands down.,23/02/2015 15:24,,Atlantic Time (Canada)
55,neutral,Will flights be leaving Dallas for LA on February 24th?,23/02/2015 15:19,,
56,negative,hi! i'm so excited about your $99 LGA-&gt;DAL deal- but i've been trying 2 book since last week &amp; the page never loads. thx!,23/02/2015 15:05,"new york, new york",Eastern Time (US & Canada)
57,positive,you know it. Need it on my spotify stat #guiltypleasures,23/02/2015 15:04,"brooklyn, Ny",Pacific Time (US & Canada)
58,positive,@ladygaga @carrieunderwood  I'm Lady Gaga!!! She is amazing! __,23/02/2015 14:40,"Bali, Republic of Indonesia",Kuala Lumpur
59,neutral,@ladygaga @carrieunderwood - Carrie!,23/02/2015 14:40,"UK, USA. ",
60,neutral,New marketing song? https://t.co/F2LFULCbQ7 let us know what you think?,23/02/2015 14:37,"Gold Coast, Australia",Brisbane
61,neutral,@ladygaga @carrieunderwood Julie Andrews first but Lady Gaga wow'd me last night. Carrie? Meh.,23/02/2015 14:36,"Stockton, CA",Arizona
62,negative,I called a 3-4 weeks ago about adding 3 flights from 2014 to my Elevate...they still haven't shown up...help!,23/02/2015 14:35,"New York, NY",Eastern Time (US & Canada)
63,neutral,"@ladygaga @carrieunderwood all are great , but I have to go with #CarrieUnderwood ____",23/02/2015 14:30,,
64,neutral,"@LadyGaga @CarrieUnderwood Sorry, Mary Martin had it first!",23/02/2015 14:26,"Twin Cities, Minn.",Eastern Time (US & Canada)
65,positive,@ladygaga @carrieunderwood  love all three but you really can't beat the classics!,23/02/2015 14:25,,
66,neutral,Flight 0736 DAL to DCA 2/24 2:10pm. Tried to check in could not. Status please.,23/02/2015 14:09,USA,Central Time (US & Canada)
67,negative,heyyyy guyyyys.. been trying to get through for an hour. can someone call me please? :/,23/02/2015 13:46,next city,Pacific Time (US & Canada)
68,negative,"Hi, Virgin! I'm on hold for 40-50 minutes -- are there any earlier flights from LA to NYC tonight; earlier than 11:50pm?",23/02/2015 13:35,SF _ NY,Eastern Time (US & Canada)
69,positive,Congrats on winning the @Travelzoo award for Best Deals from an Airline (US) http://t.co/kj1iljaebV,23/02/2015 13:30,"New York, NY",Pacific Time (US & Canada)
70,negative,everything was fine until you lost my bag,23/02/2015 13:08,New York + Panama,Eastern Time (US & Canada)
71,neutral,Need to change reservation. Have Virgin credit card. Do I need to modify on phone to waive change fee? Or can I do online?,23/02/2015 12:47,"San Francisco, CA",Eastern Time (US & Canada)
72,neutral,I emailed your customer service team. Let me know if you need the tracking number.,23/02/2015 12:00,Los Angeles,
73,neutral,"hi I just booked a flight but need to add baggage, how can I do this?",23/02/2015 11:56,"London, England",London
74,negative,your airline is awesome but your lax loft needs to step up its game. $40 for dirty tables and floors? http://t.co/hy0VrfhjHt,23/02/2015 11:46,Los Angeles,
75,positive,"not worried, it's been a great ride in a new plane with great crew. All airlines should be like this.",23/02/2015 11:32,Floridian from Cincinnati ,Eastern Time (US & Canada)
76,positive,awesome. I flew yall Sat morning. Any way we can correct my bill ?,23/02/2015 11:28,"Dallas, Texas",Mountain Time (US & Canada)
77,neutral,"Or watch some of the best student films in the country at 35,000 feet! #CMFat35000feet http://t.co/KEK5pDMGiF",23/02/2015 11:24,USA,Eastern Time (US & Canada)
78,neutral,first time flying you all. do you have a different rate/policy for media Bags? Thanks,23/02/2015 11:22,"Dallas, Texas",Mountain Time (US & Canada)
79,negative,what is going on with customer service? Is there anyway to speak to a human asap? Thank you.,23/02/2015 11:02,,
80,neutral,what happened to Doom?!,23/02/2015 10:58,,
81,negative,why can't you supp the biz traveler like @SouthwestAir  and have customer service like @JetBlue #neverflyvirginforbusiness,23/02/2015 10:56,,Pacific Time (US & Canada)
82,positive,I've applied more then once to be a member of the #inflight crew team...Im 100% interested. #flightattendant #dreampath -G,23/02/2015 10:56,"Seattle, WA",Pacific Time (US & Canada)
83,negative,you're the best!! Whenever I (begrudgingly) use any other airline I'm delayed and Late Flight :(,23/02/2015 10:54,Los Angeles,
84,negative,I have no interesting flying with you after this. I will Cancelled Flight my next four flights I planned.#neverflyvirginforbusiness,23/02/2015 10:54,,Pacific Time (US & Canada)
85,negative,it was a disappointing experience which will be shared with every business traveler I meet. #neverflyvirgin,23/02/2015 10:38,,Pacific Time (US & Canada)
86,negative,I__ having trouble adding this flight my wife booked to my Elevate account. Help? http://t.co/pX8hQOKS3R,23/02/2015 10:29,"Lower Pacific Heights, SF, CA",Pacific Time (US & Canada)
87,neutral,Can't bring up my reservation online using Flight Booking Problems code,23/02/2015 10:15,Chicago,Eastern Time (US & Canada)
88,neutral,Random Q: what's the distribution of elevate avatars? I bet that kitty has a disproportionate share http://t.co/APtZpuROp4,23/02/2015 10:09,,
89,neutral,I &lt;3 Flying VA But Life happens and I am trying to #change my trip JPERHI  Can you help.VA home page will not let me ?,23/02/2015 10:04,"Los Cabos,Mexico",Arizona
90,negative,Why is the site down?  When will it be back up?,23/02/2015 9:57,"New York, NY",Arizona
91,neutral,"""You down with RNP?"" ""Yeah you know me!""",23/02/2015 9:45,,Pacific Time (US & Canada)
92,neutral,"hi, i did not get points on my elevate account for my most recent flight, how do i add the flight and points to my account?",23/02/2015 9:35,,
93,negative,I like the TV and interesting video . Just disappointed in Cancelled Flightled flight when other flights went out to jfk on Saturday .,23/02/2015 9:29,,
94,negative,"just landed in LAX, an hour after I should of been here. Your no Late Flight bag check is not business travel friendly #nomorevirgin",23/02/2015 9:28,,Pacific Time (US & Canada)
95,neutral,why is flight 345 redirected?,23/02/2015 9:26,,
96,negative,"Is it me, or is your website down?  BTW, your new website isn't a great user experience.  Time for another redesign.",23/02/2015 9:25,"Los Angeles, CA",Arizona
97,negative,I can't check in or add a bag. Your website isn't working. I've tried both desktop and mobile http://t.co/AvyqdMpi1Y,23/02/2015 9:18,"Austin, TX",Mountain Time (US & Canada)
98,negative,- Let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin? #uncomfortable,23/02/2015 9:11,,
99,negative,What is your phone number. I can't find who to call about a flight reservation.,23/02/2015 8:29,"Sterling Heights, MI",Eastern Time (US & Canada)
100,negative,is anyone doing anything there today?  Website is useless and no one is answering the phone.,23/02/2015 8:19,Washington DC,Quito
101,neutral,trying to add my boy Prince to my ressie. SF this Thursday @VirginAmerica from LAX http://t.co/GsB2J3c4gM,23/02/2015 8:19,"Manhattan Beach, CA",
102,negative,why must a traveler miss a flight to Late Flight check a bag?  I missed my morning appointments and you lost my business. #sfo2lax,23/02/2015 8:11,,Pacific Time (US & Canada)
103,neutral,check out new music http://t.co/maRcnOCWzn,23/02/2015 8:08,Greater Los Angeles,
104,negative,how's a direct flight FLL-&gt;SFO have unexpected layover in Vegas 4 fuel yet peeps next to me bought for Vegas flight. #sneaky,23/02/2015 8:08,Floridian from Cincinnati ,Eastern Time (US & Canada)
105,negative,your no Late Flight bag check just lost you my business. I missed flight and AM apt. Three other people on flight had same exp.,23/02/2015 7:51,,Pacific Time (US & Canada)
106,positive,"- amazing customer  service, again! ____ RaeAnn in SF - she's the best! #customerservice #virginamerica #flying",23/02/2015 7:50,Online,Pacific Time (US & Canada)
107,negative,called your service line and was hung up on. This is awesome. #sarcasm,23/02/2015 7:40,,Pacific Time (US & Canada)
108,negative,your site is tripping. I'm trying to check in and I'm getting the plain text version. I am reluctant to enter any card info.,23/02/2015 7:40,,Pacific Time (US & Canada)
109,neutral,I was scheduled for SFO 2 DAL flight 714 today. Changed to 24th due weather. Looks like flight still on?,23/02/2015 7:28,"Dallas, TX",
110,positive,"has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/tZZJhuIbCH #CheapFlights #FareCompare",23/02/2015 6:57,"Washington, DC",Eastern Time (US & Canada)
111,neutral,"has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/RPdBpX3wNd #CheapFlights #FareCompare",23/02/2015 6:57,Seattle,Central Time (US & Canada)
112,positive,"has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/B2Xi4YG5T8 #CheapFlights #FareCompare",23/02/2015 6:57,"New York City, NY",Central Time (US & Canada)
113,neutral,"has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/QDlJHslOI5 #CheapFlights #FareCompare",23/02/2015 6:57,"Los Angeles, CA",Central Time (US & Canada)
114,positive,Have a great week ___,23/02/2015 6:51,,
115,positive,come back to #PHL already. We need you to take us out of this horrible cold. #pleasecomeback http://t.co/gLXFwP6nQH,23/02/2015 6:07,Earth,Eastern Time (US & Canada)
116,negative,"should I be concerned that I am about to fly on a plane that needs to be delayed due to a ""tech stop""?",23/02/2015 5:15,,Eastern Time (US & Canada)
117,positive,"is the best airline I have flown on.Easy to change your reservation,helpful representatives &amp; a comfortable flying experience",23/02/2015 3:01,"Halifax, Nova Scotia, Canada",Eastern Time (US & Canada)
118,positive,and again! Another rep kicked butt! Naelah represents your team so beautifully!! Thank you!!!,23/02/2015 0:35,"Los Angeles, CA",
119,positive,your beautiful front-end design is down right now; but it was cool to still book my ticket b/c all your back-end was secure.,23/02/2015 0:21,"Near a park, water, or lights",Pacific Time (US & Canada)
120,positive,"Love the team running Gate E9 at LAS tonight. Waited for a delayed flight, and they kept things entertaining",23/02/2015 0:06,USA,Eastern Time (US & Canada)
121,negative,Use another browser! 2015 &amp; a brand with a reputation built on tech response doesn't have a cross-browser compatible website?,22/02/2015 22:39,San Francisco CA,Pacific Time (US & Canada)
122,negative,"And now the flight Flight Booking Problems site is totally down. Folks, what is the problem?",22/02/2015 22:11,San Francisco CA,Pacific Time (US & Canada)
123,negative,I like the customer service but a 40 min delay just for connecting passengers seems too long. VA370,22/02/2015 21:56,,
124,positive,thanks to your outstanding NYC-JFK crew who moved mountains to get me home to San Francisco tonight!,22/02/2015 20:23,San Francisco,
125,positive,you have the absolute best team and customer service ever.  Every time I fly with you I'm delighted.  Thank you!,22/02/2015 17:48,,Pacific Time (US & Canada)
126,neutral,"Do you provide complimentary upgrades to first class, if there are available seats?",22/02/2015 17:45,New York,Eastern Time (US & Canada)
127,negative,i need to change my flight thats scheduled in 9 hours and 120 min wait time on phone. Im calling intern. Help!!,22/02/2015 17:14,NYC,Tehran
128,positive,completely awesome experience last month BOS-LAS nonstop. Thanks for such an awesome flight and depart time. #VAbeatsJblue,22/02/2015 16:18,,
129,neutral,How can I watch the #Oscars2015 on my JFK-&gt;SFO flight?,22/02/2015 16:05,"San Francisco, CA",Pacific Time (US & Canada)
130,neutral,is flight 882 Cancelled Flightled and what do I do if it is?,22/02/2015 15:41,,
131,negative,you are failing your customers because your check in process does not link to TSA pre-check.,22/02/2015 15:40,,Eastern Time (US & Canada)
132,negative,@FiDiFamilies us too! Terrible airline! Just gave us a hotel hotline number and said sorry,22/02/2015 15:06,,
133,neutral,has flight number 276 from SFO to Cabo San Lucas arrived yet?,22/02/2015 15:03,"Sacramento,California",Pacific Time (US & Canada)
134,negative,@ChrysiChrysic your assistance yesterday when u Cancelled Flightled our flight was to give us a hotel hotline  Shame on you!,22/02/2015 15:02,,
135,negative,Another delayed flight? #likingyoulessandless,22/02/2015 14:49,San Diego,Alaska
136,negative,I need to register a service dog for a first class ticket from SFO &gt; Dulles. The phone queue is an hour or longer. Pls advise,22/02/2015 14:39,"Oakland, California",Pacific Time (US & Canada)
137,positive,you ROCK for making it so I can watch #Oscars on my flight!! #redcarpet #oscars #oscars2015,22/02/2015 14:32,,Mountain Time (US & Canada)
138,neutral,@reallytallchris dropped a track on you... https://t.co/zv2pt6TRK9,22/02/2015 14:31,,
139,positive,always!!! Xoxo,22/02/2015 14:09,All Over!,Pacific Time (US & Canada)
140,negative,why can't we book seats on your flights when we buy them or even during check in? Creates so much anxiety! #frustrated,22/02/2015 14:07,"Providence, RI",Eastern Time (US & Canada)
141,negative,You'd think paying an extra $100 bucks RT for luggage might afford you hiring an extra hand at @sfo #lame,22/02/2015 14:03,San Diego,Alaska
142,positive,best customer service rep in the world! #irmafromDallas takes the cake!!!,22/02/2015 13:55,"Los Angeles, CA",
143,neutral,Can you find us a flt out of LAX that is sooner than midnight on Monday? That would be great customer service __,22/02/2015 13:49,New York City ,Eastern Time (US & Canada)
144,negative,please provide status for flight 769.  I cant imagine it's on time as the Web indicates  dude to weather here and/or Dallas,22/02/2015 13:47,New York,Eastern Time (US & Canada)
145,positive,you have amazing staff &amp; super helpful as I just ran the @WaltDisneyWorld #PrincessHalf they have spoiled me with comfort!!!,22/02/2015 13:45,All Over!,Pacific Time (US & Canada)
146,negative,"I paid the premium to fly you across the country, you Cancelled Flight my flight and offer no check fee or upgrade love? Sad face :(",22/02/2015 13:29,"iPhone: 29.741360,-90.131523",Pacific Time (US & Canada)
147,negative,question: is it not possible to book a seat for an infant under 2? It's not giving me the option but we want a seat for him.,22/02/2015 13:23,Los Angeles,Pacific Time (US & Canada)
148,positive,have it together!!! You're welcome! RT @VirginAmerica: @jessicajaymes You're so welcome.,22/02/2015 12:49,"hollywood, california",Pacific Time (US & Canada)
149,positive,#flight home to #dc #sunset #globe in' #backtowinter back to #work! #refreshed http://t.co/VX9vBCTdLf,22/02/2015 12:35,"Washington, DC",Eastern Time (US & Canada)
150,negative,I don't understand why you need a DM to give me an answer on if you have a damaged luggage policy.,22/02/2015 12:34,Las Vegas,Pacific Time (US & Canada)
151,negative,does that mean you don't have a policy for destroyed luggage?,22/02/2015 12:27,Las Vegas,Pacific Time (US & Canada)
152,neutral,is there special assistance if I travel alone w/2 kids and 1 infant? Priority boarding?,22/02/2015 11:56,,Atlantic Time (Canada)
153,positive,thank you for checking in. tickets are purchased and customer is happy ;-),22/02/2015 11:33,San Francisco,Pacific Time (US & Canada)
154,neutral,is your website ever coming back online?,22/02/2015 11:13,,
155,neutral," - Is Flight 713 from Love Field to SFO definitely Cancelled Flightled for Monday, February 23?",22/02/2015 11:10,,
156,neutral,Is flight 0769 out of LGA to DFW on time?,22/02/2015 11:10,,
157,neutral,my drivers license is expired by a little over a month. Can I fly Friday morning using my expired license?,22/02/2015 11:10,,
158,negative,having problems Flight Booking Problems on the web site. keeps giving me an error and to contact by phone.  phone is 30 minute wait.,22/02/2015 11:02,San Francisco,Pacific Time (US & Canada)
159,negative,How do I reschedule my Cancelled Flightled flights online? The change button is greyed out!,22/02/2015 11:01,CA,
160,negative,"I rang, but there is a wait for 35 minutes!! I can book the same ticket through a vendor, fix your site",22/02/2015 10:38,@ the moment in New Delhi,Pacific Time (US & Canada)
161,negative,"got a flight (we were told) for 4:50 today..,checked my email and its for 4;50 TOMORROW. This is unacceptable.",22/02/2015 10:30,Brooklyn,Eastern Time (US & Canada)
162,negative,"our flight into lga was Cancelled Flighted. We're stuck in Dallas. I called to reschedule, told I could get a flight for today...(1/2)",22/02/2015 10:29,Brooklyn,Eastern Time (US & Canada)
163,negative,why don't any of the pairings include red wine?! Only white is offered :( #redwineisbetter,22/02/2015 10:19,"Washington, DC",Eastern Time (US & Canada)
164,negative,is the website down?,22/02/2015 8:56,Los Angeles,
165,negative,- Your site seems a little wonked right now. May want to have a look. Tried on two browsers. No CSS? http://t.co/8qsQMM7KF2,22/02/2015 8:53,,
166,negative,I'm disappointed that the agent at the designated silver status check in line @Dulles_Airport closed to assist all pasengers,22/02/2015 5:51,"Washington, DC",Eastern Time (US & Canada)
167,neutral,Plans to Include Austin to its Dallas Route - TopNews Arab #Emirates http://t.co/aqZWecOkk2,22/02/2015 5:02,FL410,Sydney
168,negative,Is it normal to receive no reply from Central Baggage #baggageissues #smh,22/02/2015 4:43,Tokyo,Irkutsk
169,negative,at Logan airport and waiting to checkin for my 9am flight. Checkin desk not open !!!!! Why?!,22/02/2015 3:39,"Philadelphia, Pa",Eastern Time (US & Canada)
170,neutral,to jump into the Dallas-Austin market - @Dallas_News http://t.co/EwwGi97gdx,22/02/2015 3:32,FL410,Sydney
171,neutral,"Beats EPS Views, Takes On #SouthwestAir VA LUV - Investor's Business Daily http://t.co/FLwmGDAHxu",22/02/2015 3:02,FL410,Sydney
172,neutral,Lister to my show my on Monday 1230 130,22/02/2015 2:42,,
173,neutral,to begin Dallas-Austin #flights in April - 88.9 KETR http://t.co/SSUVWwkyHH,22/02/2015 1:32,FL410,Sydney
174,negative,"congrats, you just got all my business from EWR to SFO/LAX. Fuck you @united fl1289 SFO/EWR was the clincher...",21/02/2015 21:32,"Belmar, NJ",Eastern Time (US & Canada)
175,negative, I applied over 2 weeks ago. Haven't heard back and I'm flying this week #disappointed,21/02/2015 21:28,,Eastern Time (US & Canada)
176,neutral,I'd love to know what your policy is for damaged luggage.,21/02/2015 20:41,Las Vegas,Pacific Time (US & Canada)
177,positive,Thank you for the follow,21/02/2015 20:33,Barbados ,Eastern Time (US & Canada)
178,negative,- too many apologies! You r the worse airlines! Don't even respond to your cudtomers,21/02/2015 20:21,,
179,negative,shame on VA for making people spend money in stranded cities when other airlines are landing at JFK! Who will reimburse me?,21/02/2015 20:11,,
180,neutral,@TTINAC11 I DM you,21/02/2015 18:35,"Las Vegas, NV",Mountain Time (US & Canada)
181,neutral,can you please have flights in  SJC ? I have no choice but to fly Southwest to Vegas ____,21/02/2015 18:29,,Arizona
182,negative,too bad you say it takes 10 to 14 days via YOUR confirmation email. When I inquired after 3 weeks you claim 6 to 8 weeks!,21/02/2015 18:29,Northern Virginia,Eastern Time (US & Canada)
183,negative,Flight from BOS &gt; LAS tomorrow was Cancelled Flightled. No notification; wait times are 1+ hour. Will you rebook on another airline?,21/02/2015 18:11,"Boston, MA",Central Time (US & Canada)
184,positive,RT @VirginAmerica: You__e met your match. Got status on another airline? Upgrade (+restr): http://t.co/RHKaMx9VF5. http://t.co/PYalebgkJt,21/02/2015 18:09,Worldwide,Caracas
185,positive,Only way to fly! #Elevate #Gold,21/02/2015 18:02,LaLa Land,Pacific Time (US & Canada)
186,neutral,If only you guys had flights from CMH.,21/02/2015 17:43,,Quito
187,negative,"a lot of ""apologies"" being thrown out to customers from what I can see.Very sad. Thanks for nothing. Worst airline ever.",21/02/2015 17:41,,
188,negative, for all my flight stuff wrong and did nothing about it. Had #worst #flight ever,21/02/2015 17:40,"Las Vegas, NV",Mountain Time (US & Canada)
189,neutral,Having an issue finding a missing item on a plane. Can you help me find which airport my plane headed to next?,21/02/2015 17:18,Chicago ,Central Time (US & Canada)
190,positive,you will match my #AmericanAirlines status? Cool!,21/02/2015 17:15,DC - LA - Venice Beach,Eastern Time (US & Canada)
191,neutral,met your match.Got status on another airline? Upgrade : http://t.co/H952rDKTqy_ @asarco_ES_ar ? __,21/02/2015 17:14,Argentina,
192,negative,trying to book a flight with you guys and your website won't let me... about to lose my business,21/02/2015 17:13,"New York, NY",Eastern Time (US & Canada)
193,negative,you suck!,21/02/2015 17:13,,
194,positive,thanks!,21/02/2015 16:50,BAYAREA___NYC,Pacific Time (US & Canada)
195,negative,Just DM'd. Same issue persisting.,21/02/2015 16:19,"Washington, DC",Atlantic Time (Canada)
196,negative,Because we never rec'd Cancelled Flightlation notice we were left w no options to fly out of PS. Driving to LA for a red eye Mon w kids,21/02/2015 15:47,New York City ,Eastern Time (US & Canada)
197,negative,trying to book a flight &amp; your site is down __,21/02/2015 15:29,BAYAREA___NYC,Pacific Time (US & Canada)
198,negative,You have any flights flying into Boston tomorrow? I need to be home and you Cancelled Flightled my flight and didn't do anything,21/02/2015 15:27,MA // Ashton in Wonderland,Eastern Time (US & Canada)
199,negative,you stink. Flight Cancelled Flighted from PSP to JFK and no notification or ability to rebook #disappointed.  #expected better,21/02/2015 14:34,New York City,Eastern Time (US & Canada)
200,positive,I love your guy's song! We're dancing to it for our high school dance revue,21/02/2015 14:28,,
201,negative,Your website is down and I'm trying to check in!,21/02/2015 14:27,"Washington, DC",Atlantic Time (Canada)
202,positive,"done! Thank you for the quick response, apparently faster than sitting on hold ;)",21/02/2015 14:24,"Los Angeles, California",Central Time (US & Canada)
203,neutral,nervous about my flight from DC to LAX getting Cancelled Flightled tomorrow! Just sent you a DM to help me!,21/02/2015 14:23,"Los Angeles, California",Central Time (US & Canada)
204,positive,cool picture of another VirginAmerica plane off our wing. What a site! http://t.co/5B2agFd8c4,21/02/2015 14:21,CT,Eastern Time (US & Canada)
205,positive,Keep up the great work :),21/02/2015 13:52,"Los Angeles, California",Pacific Time (US & Canada)
206,positive,my goodness your people @love field are amazing under pressure ___from Texas #beatstheothers in crisis Please fly me to NY,21/02/2015 13:52,FREE ADVICE! ,Central Time (US & Canada)
207,positive,Thanks for a great flight from LA to Boston! Pilots did a great job landing in the snow. Can we go back to LA now? #seriously,21/02/2015 13:41,"Natick, MA, USA",Central Time (US & Canada)
208,neutral,can you please get me to the new york area before monday afternoon,21/02/2015 13:32,"okayville, population me",
209,positive,"Thanks so much for the awesome support, you guys rock!",21/02/2015 13:32,,
